sample,t,state,true,euler,rk4,solve_ivp
1,2,dx,0.18158661,0.26114702,0.25101164,0.2511034
1,2,dy,0.031066675,0.055048496,0.07167874,0.071735464
1,2,psi,-3.014468,-3.0254486,-3.0658019,-3.0621023
1,2,delta,-0.10472526,-0.07967261,-0.10073084,-0.078481
1,2,v,-2.0340872,-2.4204876,-2.4152644,-2.4193718
1,2,beta,-0.02169801,0.5353265,1.1236728,1.1049197
1,2,omega,-0.000662332,-1.9797008,-4.7365413,-4.2636175
1,3,dx,0.1789612,0.29322627,0.23699377,0.23598589
1,3,dy,0.030751854,0.0795098,0.10068606,0.10192614
1,3,psi,-3.0149565,-3.0584435,3.0680416,3.086924
1,3,delta,-0.09264761,-0.107704185,-0.105467886,-0.105002336
1,3,v,-1.8585649,-2.416404,-2.402288,-2.4157987
1,3,beta,-0.027720243,1.1510912,3.4217753,3.3369546
1,3,omega,-0.0011628513,-4.775715,-15.010733,-13.4268055
1,4,dx,0.17579527,0.3065261,0.2429942,0.23539758
1,4,dy,0.030372724,0.117523775,0.08157685,0.09364372
1,4,psi,-3.0155041,-3.1380389,2.619878,2.6834064
1,4,delta,-0.09605342,-0.0891467,-0.098823406,-0.08883428
1,4,v,-1.6858286,-2.3945348,-2.3910673,-2.3959925
1,4,beta,-0.021157892,2.453629,10.281151,9.9798
1,4,omega,-0.0013326581,-10.720791,-43.90005,-39.40037
1,5,dx,0.17209539,0.27560496,0.2311267,0.23600657
1,5,dy,0.029938266,0.14275482,0.07141426,0.09068667
1,5,psi,-3.0163445,2.9664667,1.3304131,1.5192695
1,5,delta,-0.1112875,-0.094415225,-0.11319263,-0.09461436
1,5,v,-1.5109166,-2.3939626,-2.4024749,-2.3960028
1,5,beta,-0.0331205,5.1909866,30.62906,29.713877
1,5,omega,-0.002173476,-22.707495,-125.198746,-112.77827
1,6,dx,0.16787249,0.2875283,0.22483715,0.23402965
1,6,dy,0.029452357,0.10467866,0.07429399,0.0831944
1,6,psi,-3.0174546,2.5880082,-2.314085,-1.7875735
1,6,delta,-0.104739614,-0.11788515,-0.11990347,-0.11801757
1,6,v,-1.3451465,-2.41735,-2.4072235,-2.419307
1,6,beta,-0.040558428,10.935724,90.30242,87.64253
1,6,omega,-0.0029478772,-47.198975,-352.1719,-318.56522
1,7,dx,0.16313995,0.26433468,0.22530179,0.235574
1,7,dy,0.028913163,0.07173519,0.054024596,0.07959783
1,7,psi,-3.018657,1.8013585,0.016925097,1.4818202
1,7,delta,-0.12035176,-0.1078369,-0.12690519,-0.1077174
1,7,v,-1.1786593,-2.4034598,-2.407192,-2.4052918
1,7,beta,-0.038454026,22.876911,265.55145,257.1013
1,7,omega,-0.0032128578,-96.8822,-988.29333,-894.8987
1,8,dx,0.15794891,0.22834313,0.2239322,0.23075739
1,8,dy,0.028326806,0.08931998,0.044950463,0.09267055
1,8,psi,-3.0199428,0.18665504,2.7673156,0.49188182
1,8,delta,-0.12086152,-0.1318886,-0.13933706,-0.13142331
1,8,v,-1.0278609,-2.417287,-2.404695,-2.4188566
1,8,beta,-0.038639106,47.890327,777.3336,752.3876
1,8,omega,-0.0034525045,-198.15665,-2765.7607,-2511.3184
1,9,dx,0.15240547,0.25167665,0.22108611,0.23876245
1,9,dy,0.027704313,0.122163236,0.04226517,0.088373914
1,9,psi,-3.0211701,-3.1159558,-2.219548,2.6486354
1,9,delta,-0.120972306,-0.13270065,-0.13984215,-0.13242356
1,9,v,-0.91510886,-2.3984656,-2.39617,-2.4004045
1,9,beta,-0.03741384,99.8478,2278.7395,2198.6306
1,9,omega,-0.003284752,-403.27594,-7768.4985,-7050.731
2,0,dx,0.18366633,0.18366633,0.18366633,0.18366633
2,0,dy,0.031320244,0.031320244,0.031320244,0.031320244
2,0,psi,-3.0141537,-3.0141537,-3.0141537,-3.0141537
2,0,delta,-0.08652677,-0.08652677,-0.08652677,-0.08652677
2,0,v,-2.2094944,-2.2094944,-2.2094944,-2.2094944
2,0,beta,0.005555996,0.005555996,0.005555996,0.005555996
2,0,omega,-0.00040351352,-0.00040351352,-0.00040351352,-0.00040351352
2,1,dx,0.18158661,0.22016606,0.22003065,0.2201086
2,1,dy,0.031066675,0.036203347,0.037786525,0.03784231
2,1,psi,-3.014468,-3.0141604,-3.025112,-3.025289
2,1,delta,-0.10472526,-0.107126124,-0.11084223,-0.107800156
2,1,v,-2.0340872,-2.2354221,-2.2204163,-2.2327003
2,1,beta,-0.02169801,0.05975138,0.12777953,0.12831709
2,1,omega,-0.000662332,-0.8284647,-1.6752446,-1.6726177
2,2,dx,0.1789612,0.2567723,0.25370398,0.25399777
2,2,dy,0.030751854,0.043136597,0.052169565,0.05249916
2,2,psi,-3.0149565,-3.0279682,-3.089891,-3.0904152
2,2,delta,-0.09264761,-0.1351577,-0.11557928,-0.13198322
2,2,v,-1.8585649,-2.2313385,-2.20744,-2.226902
2,2,beta,-0.027720243,0.19787735,0.60351694,0.60859287
2,2,omega,-0.0011628513,-2.7747395,-7.1617975,-7.1958985
2,3,dx,0.17579527,0.29217154,0.26520866,0.26445684
2,3,dy,0.030372724,0.05453459,0.082995385,0.08427677
2,3,psi,-3.0155041,-3.0742137,2.9607632,2.9560857
2,3,delta,-0.09605342,-0.11660022,-0.1089348,-0.11507092
2,3,v,-1.6858286,-2.2094693,-2.1962192,-2.2064462
2,3,beta,-0.021157892,0.5358902,2.3170793,2.356831
2,3,omega,-0.0013326581,-7.1599464,-23.993362,-24.328703
2,4,dx,0.17209539,0.32249597,0.24737364,0.25681967
2,4,dy,0.029938266,0.07542651,0.07892304,0.080260515
2,4,psi,-3.0163445,3.089639,2.21199,2.1912224
2,4,delta,-0.1112875,-0.121868744,-0.123304024,-0.120550595
2,4,v,-1.5109166,-2.208897,-2.2076268,-2.2061682
2,4,beta,-0.0331205,1.314771,8.352337,8.546332
2,4,omega,-0.002173476,-16.33397,-75.84235,-77.18433
2,5,dx,0.16787249,0.3336558,0.25407782,0.2543133
2,5,dy,0.029452357,0.11050925,0.09243453,0.080449566
2,5,psi,-3.0174546,2.817406,-0.118202925,-0.1998918
2,5,delta,-0.104739614,-0.14533867,-0.13001487,-0.14291415
2,5,v,-1.3451465,-2.2322845,-2.2123754,-2.2283094
2,5,beta,-0.040558428,3.1144257,29.06211,29.896582
2,5,omega,-0.0029478772,-35.88883,-234.18518,-239.17007
2,6,dx,0.16313995,0.298724,0.24538225,0.25412825
2,6,dy,0.028913163,0.12331398,0.1003586,0.093253165
2,6,psi,-3.018657,2.2192585,-1.0055077,-1.2762369
2,6,delta,-0.12035176,-0.13529041,-0.1370166,-0.13314073
2,6,v,-1.1786593,-2.2183943,-2.212344,-2.2145905
2,6,beta,-0.038454026,7.2140756,99.42113,102.46541
2,6,omega,-0.0032128578,-77.26024,-719.4728,-735.1463
2,7,dx,0.15794891,0.3356959,0.26282263,0.24277586
2,7,dy,0.028326806,0.12363033,0.11486569,0.10222913
2,7,psi,-3.0199428,0.93158793,2.1595395,1.2455513
2,7,delta,-0.12086152,-0.15934211,-0.14944847,-0.15716971
2,7,v,-1.0278609,-2.2322216,-2.209847,-2.2283683
2,7,beta,-0.038639106,16.551903,335.12042,346.45966
2,7,omega,-0.0034525045,-165.16348,-2201.9053,-2254.3523
2,8,dx,0.15240547,0.32813227,0.28132057,0.24799693
2,8,dy,0.027704313,0.16005707,0.10507867,0.10704613
2,8,psi,-3.0211701,-1.821137,-2.395744,1.0975105
2,8,delta,-0.120972306,-0.16015416,-0.14995356,-0.15801987
2,8,v,-0.91510886,-2.2134001,-2.2013218,-2.2099211
2,8,beta,-0.03741384,37.577427,1123.5599,1160.8029
2,8,omega,-0.003284752,-350.69006,-6766.88,-6916.8374
2,9,dx,0.14660527,0.3415419,0.2933073,0.24200693
2,9,dy,0.027062016,0.19442354,0.09467296,0.11884498
2,9,psi,-3.0225306,-1.382786,-2.1751492,1.5478543
2,9,delta,-0.13626193,-0.16035229,-0.16183032,-0.15834807
2,9,v,-0.83400303,-2.2151713,-2.2148476,-2.211851
2,9,beta,-0.038145263,85.147675,3731.8203,3872.343
2,9,omega,-0.0036668172,-746.23486,-20767.082,-21304.766
3,0,dx,0.18158661,0.18158661,0.18158661,0.18158661
3,0,dy,0.031066675,0.031066675,0.031066675,0.031066675
3,0,psi,-3.014468,-3.014468,-3.014468,-3.014468
3,0,delta,-0.10472526,-0.10472526,-0.10472526,-0.10472526
3,0,v,-2.0340872,-2.0340872,-2.0340872,-2.0340872
3,0,beta,-0.02169801,-0.02169801,-0.02169801,-0.02169801
3,0,omega,-0.000662332,-0.000662332,-0.000662332,-0.000662332
3,1,dx,0.1789612,0.21529984,0.2150765,0.21510985
3,1,dy,0.030751854,0.034634177,0.035681147,0.035779763
3,1,psi,-3.0149565,-3.014479,-3.0279531,-3.028647
3,1,delta,-0.09264761,-0.13275683,-0.109462306,-0.12560414
3,1,v,-1.8585649,-2.0300035,-2.0211108,-2.027273
3,1,beta,-0.027720243,0.01528538,0.07547392,0.08405361
3,1,omega,-0.0011628513,-1.0031431,-2.0554278,-2.1734083
3,2,dx,0.17579527,0.24879079,0.24673505,0.24648729
3,2,dy,0.030372724,0.03943576,0.046177167,0.047165718
3,2,psi,-3.0155041,-3.031198,-3.1076684,-3.115116
3,2,delta,-0.09605342,-0.11419935,-0.102817826,-0.1070251
3,2,v,-1.6858286,-2.0081344,-2.00989,-2.0056665
3,2,beta,-0.021157892,0.13066459,0.5073176,0.56979424
3,2,omega,-0.0013326581,-3.5018191,-8.961319,-9.690613
3,3,dx,0.17209539,0.28129196,0.26048282,0.25573847
3,3,dy,0.029938266,0.047425836,0.07267337,0.0755154
3,3,psi,-3.0163445,-3.0895617,2.8711126,2.8347008
3,3,delta,-0.1112875,-0.11946787,-0.11718705,-0.112136625
3,3,v,-1.5109166,-2.0075622,-2.0212977,-2.0051038
3,3,beta,-0.0331205,0.41834152,2.3356383,2.6377544
3,3,omega,-0.002173476,-8.930693,-32.537746,-35.524807
3,4,dx,0.16787249,0.31111762,0.24204822,0.24778084
3,4,dy,0.029452357,0.062590234,0.06679516,0.073355384
3,4,psi,-3.0174546,3.044779,1.8033364,1.650806
3,4,delta,-0.104739614,-0.1429378,-0.12389789,-0.13538301
3,4,v,-1.3451465,-2.0309496,-2.0260463,-2.028202
3,4,beta,-0.040558428,1.1512182,9.703878,11.079015
3,4,omega,-0.0029478772,-21.136124,-112.3277,-124.189575
3,5,dx,0.16313995,0.3278305,0.24278322,0.24915014
3,5,dy,0.028913163,0.09202568,0.080251835,0.06978763
3,5,psi,-3.018657,2.6925104,-1.8505676,-2.4370759
3,5,delta,-0.12035176,-0.13288954,-0.13089961,-0.12609638
3,5,v,-1.1786593,-2.0170593,-2.0260148,-2.0151575
3,5,beta,-0.038454026,2.979959,38.62252,44.46062
3,5,omega,-0.0032128578,-48.38382,-382.87213,-427.2951
3,6,dx,0.15794891,0.30028966,0.23669152,0.2386545
3,6,dy,0.028326806,0.11130387,0.0857352,0.05621176
3,6,psi,-3.0199428,1.8861134,-1.682493,2.3665974
3,6,delta,-0.12086152,-0.15694124,-0.14333148,-0.14958657
3,6,v,-1.0278609,-2.0308867,-2.0235178,-2.028512
3,6,beta,-0.038639106,7.4904146,149.43727,173.91153
3,6,omega,-0.0034525045,-109.30734,-1296.9655,-1464.5828
3,7,dx,0.15240547,0.33409837,0.22902775,0.24207936
3,7,dy,0.027704313,0.10967133,0.09548743,0.06288513
3,7,psi,-3.0211701,0.06432414,0.19767356,-1.7216319
3,7,delta,-0.120972306,-0.15775329,-0.14383657,-0.15045099
3,7,v,-0.91510886,-2.0120652,-2.0149927,-2.0098858
3,7,beta,-0.03741384,18.452394,570.89185,669.0483
3,7,omega,-0.003284752,-244.65605,-4413.005,-5021.6
3,8,dx,0.14660527,0.30240434,0.22707947,0.24107116
3,8,dy,0.027062016,0.12062792,0.085746795,0.0610019
3,8,psi,-3.0225306,2.2699082,1.4426115,2.4729269
3,8,delta,-0.13626193,-0.15795141,-0.15571333,-0.15060382
3,8,v,-0.83400303,-2.0138364,-2.0285184,-2.0116174
3,8,beta,-0.038145263,45.117706,2148.0005,2551.5
3,8,omega,-0.0036668172,-548.55035,-14989.082,-17299.32
3,9,dx,0.1406128,0.33480784,0.23057486,0.2473223
3,9,dy,0.026422985,0.12937734,0.1051262,0.057945006
3,9,psi,-3.0243738,-0.58941317,1.848748,0.12909551
3,9,delta,-0.119482,-0.18150683,-0.15459435,-0.17384677
3,9,v,-0.7722698,-2.0391166,-2.0487125,-2.0366535
3,9,beta,-0.046383128,109.30186,7903.6055,9548.056
3,9,omega,-0.005053345,-1227.4519,-50323.07,-59109.26
4,0,dx,0.1789612,0.1789612,0.1789612,0.1789612
4,0,dy,0.030751854,0.030751854,0.030751854,0.030751854
4,0,psi,-3.0149565,-3.0149565,-3.0149565,-3.0149565
4,0,delta,-0.09264761,-0.09264761,-0.09264761,-0.09264761
4,0,v,-1.8585649,-1.8585649,-1.8585649,-1.8585649
4,0,beta,-0.027720243,-0.027720243,-0.027720243,-0.027720243
4,0,omega,-0.0011628513,-0.0011628513,-0.0011628513,-0.0011628513
4,1,dx,0.17579527,0.20978586,0.2095989,0.20953806
4,1,dy,0.030372724,0.033810887,0.03435888,0.03436071
4,1,psi,-3.0155041,-3.0149758,-3.026301,-3.0264757
4,1,delta,-0.09605342,-0.07409013,-0.08600313,-0.07370734
4,1,v,-1.6858286,-1.8366956,-1.8473442,-1.8363534
4,1,beta,-0.021157892,-0.0031522177,0.03323585,0.031582758
4,1,omega,-0.0013326581,-0.8888701,-1.7518622,-1.7302034
4,2,dx,0.17209539,0.24016444,0.23944591,0.23918952
4,2,dy,0.029938266,0.037580743,0.041717026,0.041490454
4,2,psi,-3.0163445,-3.0297904,-3.0981638,-3.097388
4,2,delta,-0.1112875,-0.07935865,-0.10037236,-0.07764144
4,2,v,-1.5109166,-1.8361233,-1.8587518,-1.8348745
4,2,beta,-0.0331205,0.05691868,0.36796027,0.34950203
4,2,omega,-0.002173476,-2.8010292,-8.415352,-8.210109
4,3,dx,0.16787249,0.27033198,0.2573838,0.25712416
4,3,dy,0.029452357,0.042719487,0.063629694,0.06338016
4,3,psi,-3.0174546,-3.0764742,2.8823836,2.8853884
4,3,delta,-0.104739614,-0.10282858,-0.107083194,-0.09887039
